Open,High,Low,Close,Adj Close
71300,72300,71200,72300,71940.98438
72400,72500,71000,71400,71045.45313
70900,71600,70600,70900,70547.9375
71700,72200,71600,72200,71841.48438
72700,72700,71400,71700,71343.96875
71300,71600,70800,71000,70647.44531
70400,70900,70000,70900,70547.9375
71100,72300,70800,72000,71642.47656
72100,72400,70800,71000,70647.44531
71700,72200,71600,72000,71642.47656
72100,72200,71100,71900,71542.97656
72100,72300,71300,71500,71144.96094
71800,71900,70900,71800,71443.46875
71300,71700,70900,71200,70846.44531
70700,71400,70400,71400,71045.45313
70700,71200,70400,70500,70149.92188
70200,71500,70100,71300,70945.95313
72000,72200,71600,71600,71244.46094
71700,72500,71500,72400,72040.49219
72500,72600,72000,72600,72239.5
72600,72700,72000,72700,72339
73100,73400,72400,72400,72400
72500,72700,71700,72200,72200
72700,73200,72600,73000,73000
73400,73600,72900,73000,73000
73000,73300,71900,72000,72000
71900,72400,71500,71600,71600
71100,71400,69800,69900,69900
70000,70400,69200,69500,69500
70200,71500,70100,71500,71500
71200,72000,71100,71900,71900
72400,72600,71900,71900,71900
72500,73400,72400,73400,73400
73200,73500,72800,73300,73300
73200,73500,72000,72000,72000
72700,72800,71300,71700,71700
71100,71500,70800,71000,71000
70400,70400,69400,70300,70300
70100,70900,69900,70400,70400
70000,70500,69800,70000,70000
69800,70600,68100,69800,69800
69900,71700,69300,71700,71700
71800,72400,70100,70600,70600
70900,71000,69800,69800,69800
70100,71200,70000,71100,71100
70700,71000,69800,69900,69900
69900,70200,68500,68800,68800
68800,69100,68200,68300,68300
67700,69200,67600,68500,68500
69000,69100,67400,67600,67600
68000,69600,67900,68900,68900
68300,68500,67800,68000,68000
68400,68800,67500,67500,67500
67500,67900,66900,67300,67300
66700,67100,66300,67000,67000
66300,66800,66000,66700,66700
66000,66700,65800,66300,66300
66600,67100,66300,66600,66600
67200,67700,66300,66600,66600
66700,67100,66400,67100,67100
68300,68700,67900,68200,68200
67100,67400,66900,67100,67100
66800,67000,66500,66800,66800
66900,67200,66600,66800,66800
67300,67700,67100,67100,67100
67100,67200,66400,66900,66900
66800,71000,66700,71000,71000
72900,72900,70700,71200,71200
70900,71500,70200,70700,70700
70700,70800,69700,70000,70000
70000,70600,69600,70400,70400
70200,70300,69600,70300,70300
70400,70800,70000,70800,70800
70800,71000,70400,70500,70500
71100,71600,70300,70900,70900
71200,71800,70800,71700,71700
71700,72300,71400,72000,72000
71300,71700,70200,70200,70200
70400,70800,69600,69800,69800
70000,70300,69500,69600,69600
69200,69800,68800,68900,68900
68300,68900,68300,68800,68800
68500,69700,68500,69400,69400
70000,70000,68400,68600,68600
68600,69100,68200,68400,68400
67400,67700,66700,67500,67500
67300,67400,66700,66700,66700
67100,67300,66000,66000,66000
66200,67600,66200,66400,66400
68600,69400,67900,68200,68200
68600,69700,68200,68900,68900
68000,68500,67700,68000,68000
67900,68500,66800,67300,67300
67700,69900,67400,69400,69400
68900,70500,68800,70500,70500
69700,70000,69400,69500,69500
68900,69200,68100,68800,68800
68700,69100,68200,68400,68400
68700,68800,67700,68500,68500
68800,68800,67900,68000,68000
67000,67900,66700,66700,66700
67100,67300,66700,67300,67300
66800,67800,66700,67300,67300
67600,68300,66900,66900,66900
67500,68900,67300,68600,68600
70000,70000,69400,69700,69700
69700,70200,69500,69600,69600
69800,70900,69300,70900,70900
70600,70900,70000,70900,70900
71300,71400,69700,69900,69900
69900,70800,69600,70300,70300
70000,70500,69500,70500,70500
71300,71300,70300,70400,70400
71000,71100,70600,70800,70800
71600,72200,71500,72200,72200
72500,73000,72300,72800,72800
72300,73000,72300,72500,72500
72100,73000,72100,72700,72700
73100,73400,72700,72800,72800
72200,73000,71900,72800,72800
73000,73200,72200,72400,72400
