Open,High,Low,Close,Volume
1255.89,1256.45,1251.12,1256.36,4608.3862
1256.37,1257.68,1252.44,1254,4133.0061
1254.01,1255.21,1251.97,1252.54,2475.8968
1252.55,1254.57,1252.19,1254.02,1802.9157
1254.03,1254.23,1252.79,1253.34,1193.4682
1253.33,1256.16,1253.15,1256.05,2557.7266
1256.05,1272.6,1256.04,1264.65,27133.3271
1264.66,1265.66,1260.2,1260.49,3904.0101
1260.49,1262,1257,1261.5,5326.9968
1261.5,1264.71,1261.2,1263.14,3826.2257
1263.13,1266.16,1263,1264.17,2176.835
1264.16,1267.73,1261.73,1261.87,7721.3174
1261.88,1265.58,1254.94,1256.57,13323.2883
1256.57,1261.46,1251.35,1253.25,7611.1066
1253.25,1255.86,1251.49,1254.74,3332.179
1254.75,1255.81,1251.65,1254.38,3364.7004
1254.39,1254.62,1251.9,1251.92,2369.6831
1251.91,1253.83,1251.03,1252.76,3138.5338
1252.76,1253.18,1245.44,1249.89,8071.19
1249.89,1251.71,1248.24,1251.27,4482.1574
1251.27,1253.21,1250.48,1252.63,1837.3161
1252.63,1253.22,1251.77,1253.01,908.8662
1253.01,1253.65,1251.58,1251.76,1341.3278
1251.75,1252.66,1251.62,1252.66,763.5245
1252.66,1253.67,1252.55,1252.56,986.3176
1252.56,1254.47,1252.25,1254.41,896.2017
1254.41,1257.7,1253.54,1255.1,2266.1016
1255.11,1255.11,1253.05,1253.31,817.6548
1253.32,1256.63,1253.07,1256.33,2081.1437
1256.33,1256.87,1255.43,1256.7,1658.7713
1256.7,1257.31,1256.27,1256.28,2056.1658
1256.28,1257.47,1255.61,1256.9,2527.0113
1256.91,1257.49,1256.58,1257.49,1845.5347
1257.49,1259.95,1255.98,1256.95,4217.4807
1256.94,1256.95,1254.47,1254.66,2016.4442
1254.66,1255.81,1253.2,1253.97,3097.2764
1253.98,1255.27,1252.43,1253.57,2138.3172
1253.58,1255.07,1253.51,1254.46,1894.7196
1254.46,1257.21,1254.29,1255.54,4397.5071
1255.54,1256.71,1254.29,1254.29,1831.2118
1254.29,1254.48,1252.58,1253.34,1718.0412
1253.33,1254.37,1252.65,1253.11,2297.1879
1253.12,1254.13,1252.97,1253.56,1378.3748
1253.55,1254.72,1253.55,1254.02,1226.3857
1254.03,1254.05,1252.6,1253.89,2929.0607
1253.89,1253.9,1252.34,1253.28,6725.3053
1253.29,1253.54,1252.19,1252.4,4755.0986
1252.39,1253.15,1252.25,1252.77,1750.6863
1252.77,1254.18,1252.5,1253.97,3629.6625
1253.96,1254.23,1253.5,1253.61,902.3089
1253.61,1254.21,1252.77,1254.21,3076.3916
1254.2,1254.36,1253.18,1253.19,1282.8611
1253.19,1254.97,1253,1254.43,3139.1764
1254.42,1255,1253.66,1253.67,2123.2774
1253.66,1254.23,1253,1253.56,1240.1527
1253.57,1253.99,1253,1253.46,1618.8882
1253.46,1253.47,1252.5,1253.32,3029.0112
1253.31,1253.95,1251.36,1251.65,4557.0159
1251.65,1252.07,1249.16,1251,4416.1436
1250.99,1251.86,1250.73,1250.97,1407.1927
1250.97,1251.38,1250.61,1250.73,1316.1813
1250.73,1250.73,1247.48,1248.5,5075.7018
1248.5,1250.09,1248.49,1249.83,1340.5649
1249.82,1251.09,1249.69,1251.03,1449.3172
1251.03,1251.26,1250.08,1250.73,2393.5742
1250.73,1250.73,1249.87,1250.22,1028.2624
1250.21,1250.22,1248.09,1249.91,2226.1755
1249.92,1251.76,1249.76,1250.74,2006.04
1250.73,1250.74,1247.61,1248.93,2563.8072
1248.92,1249.99,1248.35,1249.12,1296.0493
1249.13,1249.51,1247.33,1248.14,3075.5024
1248.14,1248.71,1245.3,1248.71,4602.9805
1248.7,1250.37,1248.55,1250.36,2501.4687
1250.36,1251.67,1250.36,1251,2355.8864
1251,1252.87,1250.99,1251.88,1358.6684
1251.88,1251.89,1251.17,1251.51,1624.4303
1251.51,1252.06,1251.46,1252.06,1257.9732
1252.06,1252.22,1251,1251.21,1290.0662
1251.21,1253,1251.2,1252.88,3739.8977
1252.88,1256.14,1252.39,1255.91,18041.5459
1255.9,1256.01,1252.74,1253.16,3719.8438
1253.16,1253.17,1251.93,1252.08,1396.4547
1252.08,1253.72,1252.08,1253.17,1260.1414
1253.18,1253.47,1252.84,1252.92,1332.9952
1252.91,1253.11,1252.7,1253.11,2015.5149
1253.1,1254,1250.5,1251.9,6594.4133
1251.91,1253.28,1248.16,1250.42,6432.8781
1250.42,1250.78,1247.15,1247.5,5858.7338
1247.5,1250,1246.52,1249.41,5030.6782
1249.41,1250.5,1248.52,1249.88,3559.6066
1249.89,1250.23,1242.81,1244.93,14196.53
1244.93,1248.72,1243.29,1248.21,5809.5524
1248.21,1252.75,1247.74,1252.43,9844.0005
1252.43,1252.73,1249.39,1250.38,2164.6848
1250.38,1251.48,1248.78,1251.47,3744.9478
1251.48,1251.51,1248.3,1249.11,1383.868
1249.11,1250.25,1248,1249.75,2805.5836
1249.75,1249.85,1247.21,1248.2,2392.2677
1248.19,1249.17,1247.65,1248.93,2062.7865
1248.94,1249.1,1248.27,1248.64,991.4178
1248.65,1249.95,1248.35,1249.08,1052.0429
1249.08,1249.49,1247.62,1248.53,778.1496
1248.54,1249.3,1247.47,1247.55,1244.2629
1247.54,1247.87,1247,1247.34,994.283
1247.34,1248.44,1246.71,1247.68,1607.4295
1247.68,1251.12,1247.67,1250.94,3976.3345
1250.93,1251.47,1250.23,1250.38,1291.4638
1250.38,1251.75,1250.38,1251.32,1369.946
1251.33,1252.28,1251.09,1251.86,1613.7083
1251.86,1253.56,1251.67,1252.25,1830.3563
1252.26,1254.1,1251.92,1253.52,2268.2762
1253.52,1254.98,1253.51,1253.62,1335.6385
1253.62,1254.31,1253.02,1253.08,1818.1958
1253.07,1253.21,1252.32,1252.42,680.5996
1252.42,1254.17,1252.42,1253.66,1020.706
1253.66,1254.24,1253.2,1253.73,1005.0982
1253.73,1254.03,1252.76,1253.25,1336.1129
1253.25,1253.43,1251.64,1252.11,1179.4768
1252.12,1252.93,1251.4,1251.98,2812.4663
1251.98,1253.24,1251.65,1252.49,3331.761
1252.49,1252.82,1252.04,1252.57,999.2242
1252.58,1252.81,1252.24,1252.27,630.1287
1252.28,1252.35,1250.85,1252.11,1212.523
1252.1,1252.11,1250.63,1250.75,1184.5893
1250.76,1253.2,1250,1252,5964.8256
1252,1252.3,1248.19,1249.96,4048.1132
1249.96,1250.56,1249.62,1250.54,1816.7355
1250.53,1252.4,1249.79,1251.24,6621.1754
1251.25,1252,1250.26,1250.46,2841.0565
1250.46,1252.62,1250.12,1252.27,829.4686
1252.26,1254.87,1252.26,1254.23,1861.577
1254.23,1257.98,1254.23,1255.67,6590.3848
1255.67,1255.79,1254.61,1255.32,1157.7266
1255.31,1255.68,1254.57,1254.88,2100.427
1254.88,1255.04,1254.5,1255.04,635.7501
1255.03,1255.14,1251.29,1251.36,1701.4667
1251.35,1251.79,1248.17,1249.4,3241.0914
1249.41,1250.84,1249.4,1249.57,1771.6487
1249.58,1252.09,1249.5,1251.47,4876.5837
1251.46,1252.1,1251.29,1251.98,922.7943
1251.98,1252.48,1251.1,1251.35,1671.5469
1251.35,1253.18,1250.73,1252.87,3089.7572
1252.86,1253.07,1251.42,1253.03,1735.8391
1253.02,1253.32,1251.01,1251.02,1107.5067
1251.01,1252.3,1251.01,1251.29,1577.0275
1251.28,1251.29,1249.5,1249.62,2847.6953
1249.63,1251,1248.7,1250.3,3050.1101
1250.31,1251.25,1249.57,1251.09,2262.8486
1251.09,1251.1,1249.19,1250.53,2930.1307
1250.52,1250.53,1249.69,1249.7,875.1171
1249.7,1249.71,1247.01,1248.81,3011.1436
1248.81,1249.73,1248.59,1249.41,2530.6474
1249.4,1249.41,1248.4,1248.59,2221.3776
1248.58,1248.59,1247,1247.24,1844.6015
1247.25,1248.87,1246,1248.72,3888.2736
1248.71,1249,1247.53,1247.78,1167.4408
1247.79,1248.32,1246.54,1246.63,2784.4479
1246.63,1248,1246.25,1247.82,2437.985
1247.81,1248.03,1247.07,1247.08,1632.0606
